End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN,Total
heating,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3955804804553444,0.1899221561898385,0.3756591612957228,0.0388382020590943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
heating,3,0.0,0.0,0.2472067039106145,0.0279329608938547,0.1368715083798882,0.0,0.0,0.0,0.0,0.0,0.5810055865921787,0.0069832402234636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
heating,4,0.0,0.0,0.6607142857142857,0.0238095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0119047619047619,0.3035714285714286,0.0,0.0,0.0,0.0,0.0,0.0,1.0
heating,5,0.0,0.0048076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3789335664335664,0.1730769230769231,0.0,0.1979895104895105,0.2368881118881119,0.0017482517482517,0.006555944055944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
heating,6,0.0,0.0,0.0,0.0,0.0,0.0294117647058823,0.0,0.0,0.0,0.0,0.2941176470588235,0.0,0.0,0.0,0.0294117647058823,0.6470588235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
heating,7,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
heating,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0465116279069767,0.0,0.0,0.3255813953488372,0.0,0.6279069767441862,1.0000000000000002
heating,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1385041551246537,0.0083102493074792,0.8531855955678671,0.0,0.0,1.0
water heating,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
water heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4675161019322318,0.2076449173900867,0.2871744609353122,0.037664519742369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
water heating,3,0.0,0.0,0.0977777777777778,0.32,0.2355555555555556,0.0,0.0,0.0,0.0,0.0,0.3377777777777778,0.0088888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
water heating,4,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0
water heating,5,0.0,0.0069444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5092592592592593,0.1597222222222222,0.0,0.1898148148148148,0.1342592592592592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
water heating,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
water heating,7,0.9444444444444444,0.0,0.0,0.0,0.0,0.0277777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0277777777777777,0.0,0.0,0.0,0.0,0.0,1.0
